
2024/08/02 (19:16:09) | ===> btop++ v.1.3.2
2024/08/02 (19:16:09) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/08/02 (19:42:47) | ===> btop++ v.1.3.2
2024/08/02 (19:42:47) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/08/04 (10:07:24) | ===> btop++ v.1.3.2
2024/08/04 (10:07:24) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/08/04 (12:09:42) | ===> btop++ v.1.3.2
2024/08/04 (12:09:42) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/08/04 (12:11:57) | ===> btop++ v.1.3.2
2024/08/04 (12:11:57) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/08/04 (21:09:50) | ===> btop++ v.1.3.2
2024/08/04 (21:09:50) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...
2024/08/04 (21:11:02) | WARNING: Failed to get disk/partition stats for mount "/mnt/3AEC2912D82E9E80" with statvfs error code: 107. Ignoring...

2024/09/22 (14:25:45) | ===> btop++ v.1.3.2
2024/09/22 (14:25:45) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/09/28 (18:48:30) | ===> btop++ v.1.3.2
2024/09/28 (18:48:30) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/09/29 (16:33:30) | ===> btop++ v.1.3.2
2024/09/29 (16:33:30) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/10/10 (18:52:23) | ===> btop++ v.1.4.0
2024/10/10 (18:52:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:53:47) | ===> btop++ v.1.4.0
2024/10/10 (18:53:47) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/10 (18:53:52) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/11/10 (13:56:34) | ===> btop++ v.1.4.0
2024/11/10 (13:56:34) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/10 (13:56:34) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/11/30 (06:31:33) | ===> btop++ v.1.4.0
2024/11/30 (06:31:33) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/30 (06:31:33) | WARNING: Failed to get disk/partition stats for mount "/mnt/New\040Volume" with statvfs error code: 2. Ignoring...

2024/12/19 (11:53:52) | ===> btop++ v.1.4.0
2024/12/19 (11:53:52) | WARNING: Intel GPU: Failed to initialize PMU
